City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
247,Barsi,IN,2022-07-09 18:23:21,18.2333,75.7,72.95,87,100,15.99
248,Coihaique,CL,2022-07-09 18:19:56,-45.5752,-72.0662,36.21,100,100,5.75
249,Wana,PK,2022-07-09 18:23:22,32.2989,69.5725,73.51,82,85,5.64
250,Teya,RU,2022-07-09 18:21:19,60.3778,92.6267,59.9,78,84,2.59
251,Ribeira Grande,PT,2022-07-09 18:22:04,38.5167,-28.7,70.2,68,75,14.97
252,Acapulco,MX,2022-07-09 18:23:22,16.8634,-99.8901,85.82,70,40,11.5
253,Tessalit,ML,2022-07-09 18:23:23,20.1986,1.0114,103.62,6,72,5.44
254,Georgetown,MY,2022-07-09 18:23:08,5.4112,100.3354,84.13,77,20,4.61
255,Kiunga,PG,2022-07-09 18:23:23,-6.1219,141.2906,71.31,99,79,1.86
256,Boditi,ET,2022-07-09 18:23:24,6.9667,37.8667,58.53,83,82,5.01
257,Japura,ID,2022-07-09 18:23:24,-0.3167,102.35,74.07,97,94,0.43
258,Maldonado,UY,2022-07-09 18:23:25,-34.6667,-54.9167,67.23,79,61,14.79
259,Rio Grande,BR,2022-07-09 18:23:25,-32.035,-52.0986,62.71,92,100,14.09
260,Tanda,IN,2022-07-09 18:23:26,26.55,82.65,90.48,54,92,10.07
261,Volsk,RU,2022-07-09 18:23:26,52.0333,47.3833,74.17,53,20,4.88
262,Sao Joao Da Barra,BR,2022-07-09 18:23:27,-21.6403,-41.0511,78.89,74,18,10.36
263,Nemuro,JP,2022-07-09 18:23:27,43.3236,145.575,57.58,96,100,14.2
264,Forbes,AU,2022-07-09 18:23:28,-33.3833,148.0167,34.92,81,15,5.19
265,Marienburg,PL,2022-07-09 18:22:49,54.0359,19.0266,65.88,59,79,11.3
266,Ponta Delgada,PT,2022-07-09 18:23:28,37.7333,-25.6667,68.72,73,75,12.66
267,Sorland,NO,2022-07-09 18:23:29,67.667,12.6934,55.26,80,70,5.3
268,Tondon,GN,2022-07-09 18:23:29,10.3667,-13.35,78.58,92,92,4.27
269,Matamoros,MX,2022-07-09 18:20:47,25.5333,-103.25,89.71,33,40,4.61
270,Mezen,RU,2022-07-09 18:23:30,65.8522,44.24,61.39,64,85,1.81
271,Kloulklubed,PW,2022-07-09 18:23:30,7.0419,134.2556,81.12,81,100,16.42
272,Iskateley,RU,2022-07-09 18:21:17,67.6803,53.1512,58.48,70,54,6.11
273,Vila,PT,2022-07-09 18:24:31,42.0304,-8.1588,86.7,33,0,4.12
274,Saint Anthony,US,2022-07-09 18:24:31,45.0205,-93.218,83.89,55,40,11.5
275,Kununurra,AU,2022-07-09 18:24:32,-15.7667,128.7333,64.38,34,65,8.05
276,Ciro Marina,IT,2022-07-09 18:24:32,39.3732,17.126,78.67,57,0,25.19
277,Edgewater,US,2022-07-09 18:24:33,28.9889,-80.9023,97.29,59,100,9.01
278,Erdenet,MN,2022-07-09 18:24:33,49.0333,104.0833,51.15,87,97,2.06
279,Bafra,TR,2022-07-09 18:24:33,41.5678,35.9069,69.71,86,2,2.77
280,Yangambi,CD,2022-07-09 18:24:34,0.8102,24.4336,80.71,44,75,2.98
281,Rio Gallegos,AR,2022-07-09 18:21:34,-51.6226,-69.2181,28.45,80,0,16.11
282,Ribeira Brava,PT,2022-07-09 18:24:34,32.65,-17.0667,83.12,52,3,2.19
283,Saint-Augustin,CA,2022-07-09 18:24:35,51.226,-58.6502,61.5,68,56,20.49
284,Meulaboh,ID,2022-07-09 18:24:35,4.1363,96.1285,77.43,88,100,3.31
285,Palu,ID,2022-07-09 18:24:35,-0.8917,119.8707,75.43,98,100,4.21
286,Champerico,GT,2022-07-09 18:24:36,14.3,-91.9167,91.94,72,24,4.38
287,El Alto,PE,2022-07-09 18:24:36,-4.2714,-81.2147,73.06,62,97,16.87
288,Hilo,US,2022-07-09 18:20:19,19.7297,-155.09,78.24,83,100,0.0
289,Tirodi,IN,2022-07-09 18:24:37,21.6833,79.7,79.02,85,33,2.39
290,Pailon,BO,2022-07-09 18:24:37,-17.65,-62.75,89.28,25,15,17.87
291,Camana,PE,2022-07-09 18:24:38,-16.6228,-72.7111,66.87,69,73,8.3
292,Ancud,CL,2022-07-09 18:24:38,-41.8697,-73.8203,47.23,85,100,9.82
293,Ribas Do Rio Pardo,BR,2022-07-09 18:24:39,-20.4431,-53.7592,91.35,23,11,8.46
